nama_pengguna,rating,ulasan,clean_ulasan,sentimen
Ms Arifien,5,👍👍👍👍💥👌,,netral
karie supriyadi,1,"sampai kesal nunggu refund.sudah sabar nunggu, malah kita yg dibikin repot sendiri.suruh cek ini cek itu.barang di cancel oleh system bukan kita yg cancel.dijawab sama RObot.begitu dijawab sama cs cmn email2an sampai 1 bln lebih ngak memuaskan akhirnya.dana juga tidak BALIK.mungkin saya 1 dari sekian orang yg mengalami.klo dialami oleh 100orang saja mungkin dana nya bisa beli cendol 1 propinsi. cukup sudah belanja ditokped.",kesal nunggu refund sabar nunggu bikin repot suruh cek cek barang cancel system cancel robot cs cmn email an bln ngak muas dana sekian orang alami klo alami orang dana nya beli cendol propinsi belanja ditokped,negatif
Suyatno Albany,5,nice,nice,netral
ferdy gartin,5,keren,keren,positif
Karsa Doank,1,"Saya beli pompa air pake gopaylater, angsuran 6 bulan, sedangkan pompa yg saya beli baru 2 minggu udah rusak.. ga bisa di komplen dan pihak Tokopedia ga ada solusi buat bantu masalah saya. ga lagi"" belanja di Tokopedia..",beli pompa air pake gopaylater angsur pompa beli minggu udah rusak komplen tokopedia solusi bantu belanja tokopedia,negatif
Vespa butut Vespabutut,1,toko Pedia aplikasi nya buruk .. lelet buka gambar saja jeda nya lamaaa bikin jengkel.. dan menu buat lihat tagihan gopay later tidak ada menu nya .. mau gimana coba saya bayar tagihan awal ...,toko dia aplikasi nya buruk lelet buka gambar jeda nya lamaaa bikin jengkel menu lihat tagih gopay later menu nya gimana coba bayar tagih,negatif
Trisna Trisna,5,good thxs,good thxs,netral
Erik Prayitno,1,"langganan plus saya diblokir tanpa adanya kejelasan, clk cct",langgan plus blokir jelas clk cct,netral
Ruslann,5,niceee.....,niceee,netral
Sahir Udin,3,"dulu mah bagus, gak kayak sekarang, sekarang mah banyak toko gak jelas, sering belanja dicuekin sama toko sampe batal otomatis, di chat diliat doank gak dibales bikin males belanja nya",mah bagus kayak mah toko belanja dicuekin toko sampe batal otomatis chat liat doank dibales bikin males belanja nya,positif
aspian S.E,5,Alhamdulillah lebih baik,alhamdulillah,netral
One Chan,4,Knp skrg pesan / inbox Tidak bs di hapus.. skrg uda bisa,knp skrg pesan inbox bs hapus skrg uda,netral
Muhamad Fachrurrozi,2,"tolong update kan menu foto untuk memudahkan pencarian barang update keamanan terbaru,user interface tahun sebelumnya, algoritma jangan selalu diubah seperti sistem sebelumnya,jangan pindah ke perusahaan lain terima kasih tolong dibaca!!",tolong update menu foto mudah cari barang update aman baru user interface algoritma ubah sistem pindah usaha terima kasih tolong baca,positif
Vivi Nur Atma,1,"admin dan cs Tokopedia lelet, tidak memberikan solusi dari komplain saya sebagai pembeli yg dirugikan. sudah berkali-kali menghubungi cs tapi cuman jawaban template bilangnya akan diperiksa tapi tidak. sampai sekarang komplain refund barang saya masih belum ada penyelesaian👎🏻👎🏻👎🏻",admin cs tokopedia lelet solusi komplain beli rugi kali kali hubung cs cuman template bilang periksa komplain refund barang selesai,negatif
Rajab Kudus,1,knapa setiap transaksi gak bisa di proses,knapa transaksi proses,netral
Multi Jasa,5,icomer yang bagus tapi saya barang mahal2,icomer bagus barang mahal,positif
Yb Ponsel,5,sangat bagus,bagus,positif
Irwan Paiman,5,OK,ok,netral
Saepul Bahri,1,apk yg terbaru mengalami crash system.. tidak bisa dibuka.. mohon kendala ini diperhatikan akun pribadi sangat penting!!,apk baru alami crash system buka mohon kendala perhati akun pribadi,negatif
Sururi Bin Ishaq,5,"tokped salah satu aplikasi pasar online terbaik dan saran aja, kalo bisa ga ada tuh yg namanya misteri box.",tokped salah aplikasi pasar online baik saran aja kalo tuh nama misteri box,positif
Abdul Wahab,4,"saya sering belanja online tapi pasmau cekot ongkir mahal akhirnya sy cari marketplace yg ongkir nya murah, tolong tokped kasi gratis ongkir dan potongan hargadong biar semangat belanjanya👌👍.",belanja online pasmau cekot ongkir mahal sy cari marketplace ongkir nya murah tolong tokped kasi gratis ongkir potong hargadong biar semangat belanja,positif
agstr_,2,beberapa ulasan produk menunjukkan gambar yg tidak senonoh,ulas produk gambar senonoh,netral
Ahmad Zurmilad,5,lumayan,lumayan,netral
rendy penamas,2,skrg mhl amet ongkire mhalan ongkire timbang brang yg di jual jdi mles blinya,skrg mhl amet ongkire mhalan ongkire timbang brang jual jdi mles blinya,netral
Masnoer,2,"aku pengguna tokopedia,tapi mau mengganti nomor hp yang sudah terdaftar kok ribet,karena nomor tersebut sudah tidak aktip,gak ada fitur ganti nomor yang mudah,bagiku terasa sulit",guna tokopedia ganti nomor hp daftar ribet nomor aktip fitur ganti nomor mudah bagi sulit,negatif
Wendy Firmansyah,1,"Sudah males belanja di toped langganan buyer plus mahal, gratis ongkir pelit, cashback pelit. Produk gak komplit banyak toko yang cabut pindah ke sopi 🤦",males belanja toped langgan buyer plus mahal gratis ongkir pelit cashback pelit produk komplit toko cabut pindah sopi,netral
Ranti Rahayu,1,Beli e-money status berhasil tpi saldo ga masuk. Payah,beli e money status hasil tpi saldo masuk payah,netral
Nopi Indah,5,sangat baik,,netral
Samuel Sitorus,5,mantap lah,mantap,positif
Dany 07,1,"aplikasi online paling pelit gratis ongkir minimal belanja 3 juta apaan coba mending pake aplikasi oren yuk mari kita pindah ke aplikasi oren , uninstall aja tokopedia , fix ini harus diuninstall ga pernah ada gratis ongkir sekalinya ada harus belanja tiga juta apalah itu dikira gua pekerja DPR",aplikasi online pelit gratis ongkir minimal belanja juta coba mending pake aplikasi oren yuk mari pindah aplikasi oren uninstall aja tokopedia fix diuninstall gratis ongkir sekali belanja juta apa gua kerja dpr,netral
Ardani Rizky,1,kenapa pencarian nama barang kalau di toko ngak sesuai di ketik? aneh dan juga sering juga ngebug nge freeze gambar ngak muncul padahal koneksi internet saya normal saya di apk sebelah lancar aneh ²,cari nama barang toko ngak sesuai ketik aneh ngebug nge freeze gambar ngak muncul koneksi internet normal apk belah lancar aneh,positif
edwar akbar,3,aplikasi lemot,aplikasi lot,netral
hendra rais rais,5,👍👍👍👍👍👍👍👍,,netral
Edi Mulyadi,1,lemot kusut lah,lot kusut,netral
Ginting,1,"Segera tinggalkan tokped. Aplikasi full gimmick. Voucher plus dengan harga 450rb, tp saat dipakai voucher nya masih jauh lebih murah shopee",tinggal tokped aplikasi full gimmick voucher plus harga rb pakai voucher nya murah shopee,positif
Mad Kong,1,makin dongo aj notifikasi chat telah dibaca gk ilang2 njing!,dongo aj notifikasi chat baca ilang njing,netral
Agung Prasetyo,2,"beli komponen kek ( Led Flex ) udah gak bisa mesti gak keluar, harus lewat browser atau pc mau beli pekakas yang sebagian ada di tokopedia ada sekarang malah udah gak bisa, gak muncul lagi, kok malah tambah ribet, gak bisa lagi lewat HP yang Gak bisa contohnya - LED SMD 5730 - LED VU METER RGB",beli komponen kek led flex udah mesti browser pc beli kakas tokopedia udah muncul ribet hp contoh led smd led vu meter rgb,negatif
Ade Nuraini,1,"tokped sekarang banyak bug ya. masa paket saya stuck di situ"" aja gak jelas ini tokped",tokped bug ya paket stuck situ aja tokped,negatif
Caxi Irtinnata,4,oke,oke,positif
Muhamad Ramadan,1,"Sekarang Tokopedia gak bisa ngajukan komplain, udah 10 hari barang gak datang padahal jaraknya malang-surabaya yang normalnya 3-4 hari. Mau komplain tunggu besok, udah besok tunggu lagi besok, gitu aja seterusnya.",tokopedia ngajukan komplain udah barang jarak malang surabaya normal komplain tunggu besok udah besok tunggu besok gitu aja,netral
Juliana Ana,5,in syaa Allah selalu ORI barang toko pedia,in syaa allah ori barang toko dia,positif
